
	Time: 8/9/2023 2:03:54 PM

Level: 1 Steps: 52.6363636363636
Level: 2 Steps: 123.545454545455
Level: 3 Steps: 171.363636363636
Level: 4 Steps: 218.909090909091
Level: 5 Steps: 295.181818181818
Level: 6 Steps: 445.727272727273
Level: 7 Steps: 486.090909090909
Level: 8 Steps: 476.454545454545
Level: 9 Steps: 503.272727272727
Level: 10 Steps: 758.545454545455
Level: 11 Steps: 714.166666666667
Level: 12 Steps: 779.230769230769
Level: 13 Steps: 808.785714285714
Level: 14 Steps: 993.866666666667
Level: 15 Steps: 1013.8125
Level: 16 Steps: 958.882352941176
Level: 17 Steps: 1016.5
Level: 18 Steps: 1179.21052631579
Level: 19 Steps: 1148.9
Level: 20 Steps: 1219.33333333333
Level: 21 Steps: 1511.54545454545
Level: 22 Steps: 1263.4347826087
Level: 23 Steps: 1530.875
Level: 24 Steps: 1535.8
Level: 25 Steps: 1591.15384615385
Level: 26 Steps: 1603.25925925926
Level: 27 Steps: 1691.28571428571
Level: 28 Steps: 1831.89655172414
Level: 29 Steps: 1901.03333333333
Level: 30 Steps: 2240
Level: 31 Steps: 2009.40625
Level: 32 Steps: 2032.72727272727
Level: 33 Steps: 2093.82352941176
Level: 34 Steps: 2329.11428571429
