
	Time: 8/9/2023 1:27:13 PM

Level: 1 Steps: 261.727272727273
Level: 2 Steps: 395.454545454545
Level: 3 Steps: 664.272727272727
Level: 4 Steps: 810.909090909091
Level: 5 Steps: 872.818181818182
Level: 6 Steps: 1076.09090909091
Level: 7 Steps: 966.272727272727
Level: 8 Steps: 1241.81818181818
Level: 9 Steps: 1393.09090909091
Level: 10 Steps: 1406.72727272727
Level: 11 Steps: 1396.33333333333
Level: 12 Steps: 1387
Level: 13 Steps: 1545.35714285714
Level: 14 Steps: 1609.93333333333
Level: 15 Steps: 1418.0625
Level: 16 Steps: 1512.05882352941
Level: 17 Steps: 1827
Level: 18 Steps: 1691.10526315789
Level: 19 Steps: 1619.1
Level: 20 Steps: 1699.19047619048
Level: 21 Steps: 1745.72727272727
Level: 22 Steps: 1835.34782608696
Level: 23 Steps: 1826.125
Level: 24 Steps: 1871.48
Level: 25 Steps: 2097.57692307692
Level: 26 Steps: 2034.48148148148
Level: 27 Steps: 2100.10714285714
Level: 28 Steps: 2150.65517241379
Level: 29 Steps: 2104.06666666667
Level: 30 Steps: 2304.1935483871
Level: 31 Steps: 2335.71875
Level: 32 Steps: 2206.45454545455
